dataset,title,year,venue_or_source,model_or_system,reported_results,setup_notes,source_url,pdf_url,normalized_pdf_url,download_status,local_pdf_path
truthfulqa,Think^2: Grounded Metacognitive Reasoning in LLMs,2026,arXiv,"Llama-3, Qwen-3 (8B)",Significant improvements on TruthfulQA via metacognitive structuring,MetaController dual-process system,https://arxiv.org/abs/2602.18806,https://arxiv.org/pdf/2602.18806,https://arxiv.org/pdf/2602.18806,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_think_2_grounded_metacognitive_reasoning_in_llms.pdf
truthfulqa,SPQ: An Ensemble Technique for LLM Compression,2026,arXiv/LREC,Compressed models,Preserved accuracy on TruthfulQA with 75% memory reduction,Model compression evaluation,https://arxiv.org/abs/2602.18420,https://arxiv.org/pdf/2602.18420,https://arxiv.org/pdf/2602.18420,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_spq_an_ensemble_technique_for_llm_compression.pdf
truthfulqa,ODESteer: A Unified ODE-Based Steering Framework,2026,arXiv/ICLR,Various aligned models,2.5% improved on TruthfulQA,Activation steering via ODEs,https://arxiv.org/abs/2602.17560,https://arxiv.org/pdf/2602.17560,https://arxiv.org/pdf/2602.17560,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_odesteer_a_unified_ode_based_steering_framework.pdf
truthfulqa,ROAST: Rollout-based On-distribution Activation Steering,2026,arXiv,"Qwen3-0.6B, GLM4-32B",+12.1% on TruthfulQA for GLM4-32B,Consensus steering direction,https://arxiv.org/abs/2602.14143,https://arxiv.org/pdf/2602.14143,https://arxiv.org/pdf/2602.14143,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_roast_rollout_based_on_distribution_activation_steering.pdf
truthfulqa,A Geometric Taxonomy of Hallucinations in LLMs,2026,arXiv,Various models,Logistic Regression AUROC 0.731 on TruthfulQA,Stylistic annotation confound analysis,https://arxiv.org/abs/2602.13224,https://arxiv.org/pdf/2602.13224,https://arxiv.org/pdf/2602.13224,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_a_geometric_taxonomy_of_hallucinations_in_llms.pdf
truthfulqa,Spherical Steering: Geometry-Aware Activation Rotation,2026,arXiv,Multiple models,+10% on TruthfulQA vs. addition-based methods,Multiple-choice benchmarks,https://arxiv.org/abs/2602.08169,https://arxiv.org/pdf/2602.08169,https://arxiv.org/pdf/2602.08169,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_spherical_steering_geometry_aware_activation_rotation.pdf
truthfulqa,When the Model Said 'No Comment'... (AlignX),2026,arXiv/EACL,Various models,+110.1% truthfulness-informativeness improvement,Expert routing system,https://arxiv.org/abs/2602.07381,https://arxiv.org/pdf/2602.07381,https://arxiv.org/pdf/2602.07381,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_when_the_model_said_no_comment_alignx.pdf
truthfulqa,RASA: Routing-Aware Safety Alignment for MoE Models,2026,arXiv,Mixture-of-Experts models,Preserved performance on TruthfulQA,Robust expert repair approach,https://arxiv.org/abs/2602.04448,https://arxiv.org/pdf/2602.04448,https://arxiv.org/pdf/2602.04448,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_rasa_routing_aware_safety_alignment_for_moe_models.pdf
truthfulqa,PeerRank: Autonomous LLM Evaluation,2026,arXiv,Various models,Peer scores correlate with TruthfulQA accuracy,Web-grounded peer review,https://arxiv.org/abs/2602.02589,https://arxiv.org/pdf/2602.02589,https://arxiv.org/pdf/2602.02589,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_peerrank_autonomous_llm_evaluation.pdf
truthfulqa,CreditAudit: 2nd Dimension for LLM Evaluation,2026,arXiv,Various models,"Cross-model analysis on TruthfulQA, GPQA, MMLU Pro",Stability risk assessment,https://arxiv.org/abs/2602.02515,https://arxiv.org/pdf/2602.02515,https://arxiv.org/pdf/2602.02515,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_creditaudit_2nd_dimension_for_llm_evaluation.pdf
truthfulqa,Trust in One Round: Confidence Estimation via Structural Signals,2026,arXiv/WWW,Various models,CrossACL 2026,TruthfulQA with AUROC/AUPR metrics,https://arxiv.org/abs/2602.00977,https://arxiv.org/pdf/2602.00977,https://arxiv.org/pdf/2602.00977,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_trust_in_one_round_confidence_estimation_via_structural_signals.pdf
truthfulqa,Augmenting Question Answering with Hybrid RAG,2026,arXiv,5 LLMs,Consistent improvements on TruthfulQA,RAG + in-context learning approach,https://arxiv.org/abs/2601.12658,https://arxiv.org/pdf/2601.12658,https://arxiv.org/pdf/2601.12658,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_augmenting_question_answering_with_hybrid_rag.pdf
truthfulqa,Learning to Trust the Crowd: Multi-Model Consensus Reasoning,2026,arXiv,3 open-weight LLMs,+4.6pp macro-accuracy over strongest single LLM,Graph-attention consensus,https://arxiv.org/abs/2601.07245,https://arxiv.org/pdf/2601.07245,https://arxiv.org/pdf/2601.07245,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_learning_to_trust_the_crowd_multi_model_consensus_reasoning.pdf
truthfulqa,EdgeJury: Cross-Reviewed Small-Model Ensembles,2026,arXiv,8B baseline ensemble,"MC1: 76.2% (95% CI 72.8-79.6%), +21.4% relative improvement",Serverless edge inference,https://arxiv.org/abs/2601.00850,https://arxiv.org/pdf/2601.00850,https://arxiv.org/pdf/2601.00850,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_edgejury_cross_reviewed_small_model_ensembles.pdf
truthfulqa,The Drill-Down and Fabricate Test (DDFT),2025,arXiv (Review),Various models,Comparison with static MMLU/TruthfulQA benchmarks,Epistemic robustness protocol,https://arxiv.org/abs/2512.23850,https://arxiv.org/pdf/2512.23850,https://arxiv.org/pdf/2512.23850,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_the_drill_down_and_fabricate_test_ddft.pdf
truthfulqa,"Fragile Knowledge, Robust Instruction-Following",2025,arXiv,Llama-3.2,TruthfulQA-MC2: inverse correlation with MMLU (r=-0.864),Width pruning dichotomy,https://arxiv.org/abs/2512.22671,https://arxiv.org/pdf/2512.22671,https://arxiv.org/pdf/2512.22671,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_fragile_knowledge_robust_instruction_following.pdf
truthfulqa,LLM-CAS: Dynamic Neuron Perturbation,2025,arXiv/AAAI,Various models,+2.06pp on TruthfulQA MC1 score,Real-time hallucination correction,https://arxiv.org/abs/2512.18623,https://arxiv.org/pdf/2512.18623,https://arxiv.org/pdf/2512.18623,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_llm_cas_dynamic_neuron_perturbation.pdf
truthfulqa,Constructive Circuit Amplification,2025,arXiv,Multiple models,Minimal degradation on TruthfulQA from targeted edits,Sub-network updates for math,https://arxiv.org/abs/2512.16914,https://arxiv.org/pdf/2512.16914,https://arxiv.org/pdf/2512.16914,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_constructive_circuit_amplification.pdf
truthfulqa,Semantic Grounding Index (SGI),2025,arXiv,Varies,AUC=0.478 on TruthfulQA (critical negative result),Angular geometry measures,https://arxiv.org/abs/2512.13771,https://arxiv.org/pdf/2512.13771,https://arxiv.org/pdf/2512.13771,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_semantic_grounding_index_sgi.pdf
truthfulqa,FVA-RAG: Falsification-Verification Alignment,2025,arXiv,GPT-4o generation,Full TruthfulQA-Generation (N=817) under frozen protocol,Anti-context retrieval,https://arxiv.org/abs/2512.07015,https://arxiv.org/pdf/2512.07015,https://arxiv.org/pdf/2512.07015,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_fva_rag_falsification_verification_alignment.pdf
truthfulqa,GSAE: Graph-Regularized Sparse Autoencoders,2025,arXiv,"LLaMA-3, Mistral, Qwen, Phi",65% task accuracy on TruthfulQA with 82% selective refusal,Safety steering robustness,https://arxiv.org/abs/2512.06655,https://arxiv.org/pdf/2512.06655,https://arxiv.org/pdf/2512.06655,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_gsae_graph_regularized_sparse_autoencoders.pdf
truthfulqa,Chain of Summaries: Summarization Through Iterative Questioning,2025,arXiv,Various models,TruthfulQA improvements vs. baseline LLMs,Antithesis-synthesis approach,https://arxiv.org/abs/2511.15719,https://arxiv.org/pdf/2511.15719,https://arxiv.org/pdf/2511.15719,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_chain_of_summaries_summarization_through_iterative_questioning.pdf
truthfulqa,SymLoc: Symbolic Localization of Hallucination,2025,arXiv,5 models tested,Attention variance analysis across TruthfulQA,Early-layer instability in layers 2-4,https://arxiv.org/abs/2511.14172,https://arxiv.org/pdf/2511.14172,https://arxiv.org/pdf/2511.14172,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_symloc_symbolic_localization_of_hallucination.pdf
truthfulqa,EdgeRunner 20B: Military Task Parity with GPT-5,2025,arXiv,"EdgeRunner 20B, GPT-OSS-20B",No statistically-significant regression on TruthfulQA,Edge model evaluation,https://arxiv.org/abs/2510.26550,https://arxiv.org/pdf/2510.26550,https://arxiv.org/pdf/2510.26550,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_edgerunner_20b_military_task_parity_with_gpt_5.pdf
truthfulqa,Dr.LLM: Dynamic Layer Routing,2025,arXiv,Multiple models,Generalization to TruthfulQA with 0.85% accuracy drop,Out-of-domain routing,https://arxiv.org/abs/2510.12773,https://arxiv.org/pdf/2510.12773,https://arxiv.org/pdf/2510.12773,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_dr_llm_dynamic_layer_routing.pdf
truthfulqa,XQuant: Ultra-Low Bit KV Cache Quantization,2025,EMNLP 2025,Various,Maintained performance on TruthfulQA,Sub-1.4 bit quantization,https://arxiv.org/abs/2510.11236,https://arxiv.org/abs/2510.11236,https://arxiv.org/pdf/2510.11236,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_xquant_ultra_low_bit_kv_cache_quantization.pdf
truthfulqa,Provably Convergent Primal-Dual DPO,2025,arXiv,Varies,SOTA on TruthfulQA dataset,Constrained LLM alignment,https://arxiv.org/abs/2510.05703,https://arxiv.org/abs/2510.05703,https://arxiv.org/pdf/2510.05703,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_provably_convergent_primal_dual_dpo.pdf
truthfulqa,Test-Time Scaling in Diffusion LLMs,2025,arXiv,Diffusion models,TruthfulQA: 28.36%→57.46%,Hidden semi-autoregressive experts,https://arxiv.org/abs/2510.05040,https://arxiv.org/abs/2510.05040,https://arxiv.org/pdf/2510.05040,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_test_time_scaling_in_diffusion_llms.pdf
truthfulqa,The Geometry of Truth: Layer-wise Semantic Dynamics,2025,arXiv,Multiple models,"F1=0.92, AUROC=0.96, clustering accuracy=0.89",Hallucination detection,https://arxiv.org/abs/2510.04933,https://arxiv.org/abs/2510.04933,https://arxiv.org/pdf/2510.04933,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_the_geometry_of_truth_layer_wise_semantic_dynamics.pdf
truthfulqa,AMBS: Alignment Before Misalignment,2025,arXiv,DeepSeek-7B,+32.4% alignment on HHH benchmarks,Policy-reference mechanism,https://arxiv.org/abs/2509.22510,https://arxiv.org/abs/2509.22510,https://arxiv.org/pdf/2509.22510,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_ambs_alignment_before_misalignment.pdf
truthfulqa,Psychometric Personality Shaping,2025,arXiv,Various,Conscientiousness changes affect TruthfulQA scores,Personality modulation axis,https://arxiv.org/abs/2509.16332,https://arxiv.org/abs/2509.16332,https://arxiv.org/pdf/2509.16332,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_psychometric_personality_shaping.pdf
truthfulqa,Hallucination Detection with Internal Layers,2025,arXiv,Various,Novel dynamic weighting architecture,Master's thesis; 3-benchmark eval,https://arxiv.org/abs/2509.14254,https://arxiv.org/abs/2509.14254,https://arxiv.org/pdf/2509.14254,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_hallucination_detection_with_internal_layers.pdf
truthfulqa,DSCC-HS: Dynamic Self-Reinforcing Hallucination Suppression,2025,arXiv,Varies,99.2% Factual Consistency Rate on TruthfulQA,Plug-and-play approach,https://arxiv.org/abs/2509.13702,https://arxiv.org/abs/2509.13702,https://arxiv.org/pdf/2509.13702,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_dscc_hs_dynamic_self_reinforcing_hallucination_suppression.pdf
truthfulqa,LLM Hallucination Detection: FFT Method,2025,arXiv,Multiple,>10pp improvement over SOTA,Hidden layer temporal signals,https://arxiv.org/abs/2509.13154,https://arxiv.org/abs/2509.13154,https://arxiv.org/pdf/2509.13154,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_llm_hallucination_detection_fft_method.pdf
truthfulqa,Investigating Symbolic Triggers of Hallucination in Gemma,2025,arXiv,Gemma models,Vulnerability pinpointing,Question/answer format variations,https://arxiv.org/abs/2509.09715,https://arxiv.org/abs/2509.09715,https://arxiv.org/pdf/2509.09715,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_investigating_symbolic_triggers_of_hallucination_in_gemma.pdf
livebench,"**LiveBench: A Challenging, Contamination-Limited LLM Benchmark**",2025,ICLR 2025 (Spotlight),"Multiple models (0.5B–405B); GPT-4o, Claude, Llama, Qwen, etc.","Top models achieve <70% accuracy across 6 categories (reasoning, math, coding, language, data analysis, instruction following)","Official LLM benchmark; monthly-updated questions from arXiv, news, competitions, IMDb; 1,436 total questions across 18 tasks; automatic objective grading",https://github.com/LiveBench/LiveBench,https://arxiv.org/abs/2406.19314,https://arxiv.org/pdf/2406.19314,downloaded,research/dataset_papers/pdfs/livebench/2025_livebench_a_challenging_contamination_limited_llm_benchmark.pdf
livebench,**Certainty Robustness: Evaluating LLM stability under self-challenging prompts**,2026,arXiv,"GPT-4, Claude-3.5-Sonnet, Deepseek-R1, Qwen",Two-turn evaluation on 200 LiveBench reasoning/math questions; models vary in resistance to conversational pressure,Uses LiveBench (reasoning & math subsets) for certainty robustness evaluation; evaluates how models change answers when challenged,https://arxiv.org/abs/2603.03330,https://arxiv.org/pdf/2603.03330,https://arxiv.org/pdf/2603.03330,downloaded,research/dataset_papers/pdfs/livebench/2026_certainty_robustness_evaluating_llm_stability_under_self_challenging_prompts.pdf
livebench,**CodeAlignBench: Assessing Code Generation Models on Developer-Preferred Code Adjustments**,2025,arXiv (Oct 2025),Multiple code generation models,Models show varying performance across instruction-following dimensions; translated LiveBench coding tasks into Java/JavaScript,"Uses LiveBench programming tasks (code_completion, code_generation); multi-language evaluation; tests constraint adherence and refinement ability",https://arxiv.org/abs/2510.27565,https://arxiv.org/pdf/2510.27565,https://arxiv.org/pdf/2510.27565,downloaded,research/dataset_papers/pdfs/livebench/2025_codealignbench_assessing_code_generation_models_on_developer_preferred_code_adjustmen.pdf
livebench,**INFERENCEDYNAMICS: Efficient Routing Across LLMs through Structured Capability and Knowledge Profiling**,2025,arXiv (May 2025),Multi-model routing system (30+ models),"Demonstrated superior routing efficiency and accuracy on LiveBench vs. baseline approaches; strong performance on MMLU-Pro, GPQA, BigGenBench","LLM routing framework; tested on LiveBench alongside MMLU-Pro, GPQA, BigGenBench; evaluates capability modeling across diverse benchmarks",https://arxiv.org/abs/2505.16303,https://arxiv.org/pdf/2505.16303,https://arxiv.org/pdf/2505.16303,downloaded,research/dataset_papers/pdfs/livebench/2025_inferencedynamics_efficient_routing_across_llms_through_structured_capability_and_kno.pdf
livebench,**HybridFlow: Resource-Adaptive Subtask Routing for Efficient Edge-Cloud LLM Inference**,2026,arXiv (Dec 2025–Jan 2026),Various LLMs in edge-cloud architecture,Maintains competitive accuracy on LiveBench-Reasoning while reducing latency and API cost significantly vs. baselines,"Edge-cloud inference framework; evaluates on GPQA, MMLU-Pro, AIME24, and LiveBench-Reasoning; dependency-aware DAG routing with learned utility models",https://arxiv.org/abs/2512.22137,https://arxiv.org/pdf/2512.22137,https://arxiv.org/pdf/2512.22137,downloaded,research/dataset_papers/pdfs/livebench/2026_hybridflow_resource_adaptive_subtask_routing_for_efficient_edge_cloud_llm_inference.pdf
livebench,**dLLM-Serve: Taming the Memory Footprint Crisis in Diffusion LLM Serving**,2026,arXiv (Dec 2025–Jan 2026),"Diffusion LLMs (RTX 4090, L40S hardware)",1.61×–1.81× throughput improvement on consumer GPU; 1.60×–1.74× on server GPU; tail latency reduced by ~4×,"Production serving system for parallel-decoding LLMs; tested on LiveBench, Burst, and OSC workloads; addresses memory footprint during inference",https://arxiv.org/abs/2512.17077,https://arxiv.org/pdf/2512.17077,https://arxiv.org/pdf/2512.17077,downloaded,research/dataset_papers/pdfs/livebench/2026_dllm_serve_taming_the_memory_footprint_crisis_in_diffusion_llm_serving.pdf
livebench,**SABER: Switchable and Balanced Training for Efficient LLM Reasoning**,2026,AAAI 2026,7B base model (fine-tuned),"LiveBench-Reasoning: SABER-FastThink cuts reasoning length 65.4% with 3.6% accuracy gain vs. base; evaluated on MATH, GSM8K, MBPP; graceful degradation across inference modes","Reinforcement learning for token-budgeted reasoning; supports 4 discrete inference modes (NoThink, FastThink, CoreThink, DeepThink); length-aware rewards",https://ojs.aaai.org/index.php/AAAI/article/view/40799,https://arxiv.org/abs/2508.10026,https://arxiv.org/pdf/2508.10026,downloaded,research/dataset_papers/pdfs/livebench/2026_saber_switchable_and_balanced_training_for_efficient_llm_reasoning.pdf
livebench,**Thought Manipulation: External Thought Can Be Efficient for Large Reasoning Models**,2025,"arXiv (April–Aug 2025, v2)",QwQ-32B,30% token reduction on LiveBench/Code while maintaining performance; reduced output token counts with minimal CoT generator overhead,Optimization technique for large reasoning models; manipulates internal chain-of-thought generation; tests on LiveBench coding dataset,https://arxiv.org/abs/2504.13626,https://arxiv.org/pdf/2504.13626,https://arxiv.org/pdf/2504.13626,downloaded,research/dataset_papers/pdfs/livebench/2025_thought_manipulation_external_thought_can_be_efficient_for_large_reasoning_models.pdf
livebench,**TICKing All the Boxes: Generated Checklists Improve LLM Evaluation and Generation**,2024,arXiv (Oct 2024),"Multiple LLMs (GPT-4, Claude, etc.)",STICK self-refinement on LiveBench reasoning: +7.8% absolute gain; Best-of-N selection: +6.3% on WildBench,Automated evaluation protocol using LLM-generated instruction-specific checklists; improves generation quality via self-refinement; structured multi-faceted evaluation,https://arxiv.org/abs/2410.03608,https://arxiv.org/pdf/2410.03608,https://arxiv.org/pdf/2410.03608,downloaded,research/dataset_papers/pdfs/livebench/2024_ticking_all_the_boxes_generated_checklists_improve_llm_evaluation_and_generation.pdf
livebench,**LMMs-Eval: Reality Check on the Evaluation of Large Multimodal Models** (includes Multimodal LiveBench),2024–2025,"arXiv (July 2024, v2 May 2025); NAACL 2025 Findings","10+ multimodal models (GPT-4V, Claude-Vision, Gemini, etc.)",Comprehensive evaluation across 50+ tasks; Multimodal LiveBench uses continuously-updated news/forums for zero-contamination assessment,"Unified multimodal benchmark framework; introduces Multimodal LiveBench with continuously updating news & online forums; low-cost, zero-contamination approach",https://arxiv.org/abs/2407.12772,https://arxiv.org/pdf/2407.12772,https://arxiv.org/pdf/2407.12772,downloaded,research/dataset_papers/pdfs/livebench/2024_2025_lmms_eval_reality_check_on_the_evaluation_of_large_multimodal_models_includes_mu.pdf
livebench,**Generalising LLM Routing using Past Performance Retrieval: A Few-Shot Router is Sufficient** (ContextualRouter),2026,EACL 2026 (SRW),Multiple LLM routing systems,"Performance matches or exceeds complex routers in quality-cost trade-offs across SPROUT, RouterBench, LiveBench, BigGenBench, EmbedLLM",Few-shot routing framework; retrieval-based approach; k-NN averaging baseline; tested on 5 routing benchmarks including LiveBench,https://aclanthology.org/2026.eacl-srw.22/,https://aclanthology.org/2026.eacl-srw.22.pdf,https://aclanthology.org/2026.eacl-srw.22.pdf,downloaded,research/dataset_papers/pdfs/livebench/2026_generalising_llm_routing_using_past_performance_retrieval_a_few_shot_router_is_suffic.pdf
livebench,**LiveWorld: Simulating Out-of-Sight Dynamics in Generative Video World Models**,2026,arXiv (Feb–March 2026),Video world model (Zicheng Duan et al.),Proposed dedicated LiveBench for video task; enables out-of-sight scene dynamics persistence,Introduces LiveBench for video generation benchmarking; distinct from text/MM LiveBench; evaluates temporal coherence and entity state tracking,https://arxiv.org/abs/2603.07145,https://arxiv.org/pdf/2603.07145,https://arxiv.org/pdf/2603.07145,downloaded,research/dataset_papers/pdfs/livebench/2026_liveworld_simulating_out_of_sight_dynamics_in_generative_video_world_models.pdf
ai2_arc,"Think you have Solved Question Answering? Try ARC, the AI2 Reasoning Challenge",2018,arXiv,"Multiple Baselines (Decomposable Attention, DGEM)",Not significantly above random,"Original benchmark paper introducing ARC; 7,787 natural grade school science questions; largest public-domain QA dataset",https://arxiv.org/abs/1803.05457,https://arxiv.org/pdf/1803.05457,https://arxiv.org/pdf/1803.05457,downloaded,research/dataset_papers/pdfs/ai2_arc/2018_think_you_have_solved_question_answering_try_arc_the_ai2_reasoning_challenge.pdf
ai2_arc,KG^2: Learning to Reason Science Exam Questions with Contextual Knowledge Graph Embeddings,2018,arXiv,Knowledge Graph Embeddings,Outperforms SOTA on ARC Challenge,Uses contextual knowledge graphs for reasoning on science questions,https://arxiv.org/abs/1805.12393,https://arxiv.org/pdf/1805.12393,https://arxiv.org/pdf/1805.12393,downloaded,research/dataset_papers/pdfs/ai2_arc/2018_kg_2_learning_to_reason_science_exam_questions_with_contextual_knowledge_graph_embedd.pdf
ai2_arc,"A Systematic Classification of Knowledge, Reasoning, and Context within the ARC Dataset",2018,NLP @ ACL 2018 Workshop,Annotation Analysis,N/A,Annotates ARC with knowledge and reasoning type labels; establishes taxonomy,https://aclanthology.org/W18-2607/,https://aclanthology.org/W18-2607.pdf,https://aclanthology.org/W18-2607.pdf,downloaded,research/dataset_papers/pdfs/ai2_arc/2018_a_systematic_classification_of_knowledge_reasoning_and_context_within_the_arc_dataset.pdf
